"Title","URL","Resource type","Citation","Year","Number"
"Farmer’s perception of climate change and responsive strategies in three selected provinces of South Africa","https://www.sciencedirect.com/science/article/pii/S2212096316301061","Journal article","Elum et al .","2017","1"
"The impacts of climate change on agriculture in sub-Saharan Africa: A spatial panel data approach","https://www.sciencedirect.com/science/article/pii/S0305750X22001577","Journal article","Emediegwu et al.","2022","1"
"Poverty in Sub-Saharan Africa: The dynamics of population, energy consumption and misery index","https://www.econstor.eu/bitstream/10419/228745/1/full-1.pdf","Journal","Emife and Emeka ","2020","1"
"Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru","https://www.researchgate.net/publication/320867800_Geomorphologically_effective_floods_from_moraine-dammed_lakes_in_the_Cordillera_Blanca_Peru","Report","Emmer","2017","1"
"Environmental Protection Agency (EPA)","https://www.epa.gov/climate-indicators/climate-change-indicators-coastal-flooding","Website","EPA","2021","1"
"Key environment issues, trends and challenges in the Asia-Pacific region","https://www.unescap.org/sites/default/files/CED5_1E_0.pdf","ESCAP Report","ESCAP","2018","1"
"Adaptation and Resilience to Drought: From know how to do how A guidebook for the practitioners","https://reliefweb.int/report/cambodia/adaptation-and-resilience-drought-know-how-do-how-guidebook-practitioners-based-case","UN-ESCAP Report","ESCAP,2020","2020","1"
"Soil Salinity as a Challenge for Sustainable Agriculture and Bacterial-Mediated Alleviation of Salinity Stress in Crop Plants","https://link.springer.com/chapter/10.1007/978-981-13-8335-9_1","Journal article","Etesami and Noori","2019","1"
"REGIONAL ENVIRONMENTAL PROFILE OF ASIA","https://europa.eu/capacity4dev/file/51855/download?token=1eHRS266","Report","EU","2006","1"
"Assessing Livelihood Adaptation Indices and the Sustainability of Rice Farmers in Bangladesh’s Northwestern Region","https://www.frontiersin.org/articles/10.3389/frsus.2021.682595/full","Journal article","Eyasmin et al.","2021","1"
"Cassava Planting Systems in Africa","https://idl-bnc-idrc.dspacedirect.org/bitstream/handle/10625/18676/IDL-18676.pdf?sequence=1","Report chapter","Ezumah and Okigbo","1980","1"
"Spatial decoupling of agricultural production and consumption: quantifying dependences of countries on food imports due to domestic land and water constraints. Environmental Research Letters","https://iopscience.iop.org/article/10.1088/1748-9326/8/1/014046/pdf","Article","Fader et al.","2013","1"
"A framework for sustainable food security for Latin America and the Caribbean.","http://www.iadb.org/","IADB Report","Falconi et al .","2012","1"
"The Economic Consequences of Conflict in Sub Saharan Africa","https://www.imf.org/-/media/Files/Publications/WP/2020/English/wpiea2020221-print-pdf.ashx","IMF Report","Fang et al.","2020","1"
"Asia and the Pacific Regional Overview of Food Insecurity and Nutrition","https://www.unicef.org/eap/reports/asia-and-pacific-regional-overview-food-insecurity-and-nutrition","Publication","FAO and UNICEF EAPRO","2021","1"
"Asia and the Pacific Regional Overview of Food Insecurity and Nutrition.","https://www.unicef.org/eap/reports/asia-and-pacific-regional-overview-food-insecurity-and-nutrition","FAO Report","FAO and UNICEF EAPRO","2021","2"
"Farming Systems and Poverty","https://www.fao.org/3/Y1860E/y1860e04.htm#P593_85873","Book","FAO","2001","1"
"Investing in sustainable crop intensification: The case for soil health’, Report of the International Technical Workshop, FAO. Integrated Crop Management Vol. 6.",,"FAO Report","FAO","2008","1"
"Water resources in Africa","https://www.fao.org/3/i2345e/i2345e04.pdf","Book chapter","FAO","2008","2"
"The potential impact of climate change on fisheries and
aquaculture in the Asian region","http://www.fao.org/3/a-ba0083e.pdf","FAO Report","FAO","2011","1"
"Climate Agriculture Sourcebook","https://www.fao.org/climate-smart-agriculture-sourcebook/production-resources/module-b2-livestock/chapter-b2-2/en/","FAO Report","FAO","2013","1"
"Mexico","http://www.fao.org/nr/water/aquastat/countries_regions/MEX/","FAO Report","FAO","2013","2"
"Disaster Management","http://http//mrrd.gov.af;%20http://www.fao.org/in-action/fapda","FAO Report","FAO","2014","1"
"Climate change and food security: risks and responses","https://www.fao.org/3/i5188e/I5188E.pdf","Report","FAO","2015","1"
"Soil and water conservation in Latin America and the Caribbean.","https://www.fao.org/americas/priorities/suelo-agua/en/","FAO Report","FAO","2015","2"
"Types of soil and ideal conditions for growing coffee","https://www.slideshare.net/FAOoftheUN/types-of-soil-and-ideal-conditions-for-growing-coffee","Powerpoint presentation","FAO","2015","3"
"Kenya's tea sector under climate change","https://www.fao.org/3/i4824e/i4824e.pdf","Report","FAO","2015","4"
"The economic lives of smallholder farmers","https://www.fao.org/3/i5251e/i5251e.pdf","Book","FAO","2015","5"
"Socio-economic implications
of climate change
for tea producing countries","https://www.fao.org/3/i4482e/i4482e.pdf","Report","FAO","2015","6"
"Cassava in Latin America and the Caribbean: A look at the potential of the Crop to promote Agric development and economic growth","https://www.fao.org/documents/card/en/c/e5f1c41c-3a9e-4683-a1f0-a894f24e8f26/","FAO Report","FAO","2016","1"
"Agriculture in Sub-Saharan Africa: Prospects and challenges for the next decade","https://www.fao.org/3/bo092e/bo092e.pdf","Report","FAO","2016","2"
"The future of food and agriculture: Trends and challenges.","http://www.fao.org/3/i6583e/i6583e.pdf","FAO Report","FAO","2017","1"
"The future of food and agriculture – Trends and challenges","https://www.fao.org/3/i6583e/i6583e.pdf","Report","FAO","2017","2"
"Climate Smart Agriculture: Building Resilience to Climate Change","https://www.researchgate.net/publication/320372437_Climate-Smart_Agriculture_-_Building_Resilience_to_Climate_Change","Book","FAO","2018","1"
"Maize markets in Eastern and Southern Africa (ESA) in the context of climate change",,"Report","FAO","2018","2"
"Latin American Agriculture: Prospects and Challenges","http://www.fao.org/3/CA4076EN/CA4076EN_Chapter2_Latin_American_Agriculture.pdf","FAO Report","FAO","2019","1"
"Latin American and Caribbean Forestry Commission: Forests and climate change moving towards the 25th Session of the Conference of the Parties (COP 25) to the UNFCCC.","https://www.fao.org/3/ca5825en/ca5825en.pdf","Report","FAO","2019","2"
"THE STATE OF FOOD SECURITY AND NUTRITION IN THE WORLD","https://www.unicef.org/media/55926/file/SOFI-2019-in-brief.pdf","Journal article","FAO","2019","3"
"Committee on forestry. Transforming agriculture and food systems: Halting deforestation and promoting sustainable production and consumption of forest products","https://www.fao.org/3/nd565en/nd565en.pdf","Report","FAO","2020","1"
"Climate Change fans spread of pests and threatens plants and crops: New FAO study.","https://www.fao.org/news/story/en/item/1402920/icode/","FAO Report","FAO","2021","1"
"Climate change fans spread of pests and threatens plants and crops, new FAO study","https://www.fao.org/news/story/en/item/1402920/icode/","Report","FAO","2021","2"
"New FAO report highlights urgent need to restore Africa’s degraded landscape","https://news.un.org/en/story/2021/09/1101632","FAO Report","FAO","2021","3"
"African swine fever (ASF) situation update in Asia and Pacific","https://www.fao.org/animal-health/situation-updates/asf-in-asia-pacific/en","Report","FAO","2022","1"
"Land and Water: Banana","https://www.fao.org/land-water/databases-and-software/crop-information/banana/en/
","Report","FAO","2022","2"
"Soil fertility","https://www.fao.org/global-soil-partnership/areas-of-work/soil-fertility/en/","Webpage","FAO","2022","3"
"STATUS OF DIGITAL AGRICULTURE
IN 47 SUB-SAHARAN AFRICAN COUNTRIES","https://www.fao.org/3/cb7943en/cb7943en.pdf","Report","FAO","2022","4"
"Plant pests and diseases: FAO Emergencies","https://www.fao.org/emergencies/en/","Article","FAO","2022","5"
"Rethinking Infrastructurein Lat in America and the Caribbean; Spending Better to Achieve More","https://openknowledge.worldbank.org/bitstream/handle/10986/26390/114110-REVISED-PUBLIC-RethinkingInfrastructureFull.pdf","World Bank Report","Fay et al.","2017","1"
"Climate Change and Chronic Food Insecurity in Sub-Saharan Africa","https://www.imf.org/-/media/Files/Publications/DP/2022/English/CCCFISSAEA.ashx","Book chapter","Fayad.","2022","1"
"Climate change in Latin America and the Caribbean: policy options and research priorities.","https://doi.org/10.1007/s40503-015-0028-4","Economic review article","Feld and Galiani","2015","1"
"Climate change in Latin America and the Caribbean: policy options and research priorities","https://latinaer.springeropen.com/articles/10.1007/s40503-015-0028-4","Journal article","Feld and Galiani","2015","2"
"Rainfall Shocks, Food Prices Vulnerability and Food Security: Evidence for Sub-
Saharan African Countries.","https://www.afdb.org/sites/default/files/documents/publications/aec_2012_-_rainfall_shocks_food_prices_vulnerability_and_food_security-evidence_for_sub-saharan_african_countries.pdf","Journal","Felix and Romuald","2012","1"
"Longitudinal analysis of maize diversity in Yucatan, Mexico: influence of agro-ecological factors on landraces conservation and modern variety introduction","http://journals.cambridge.org/article_S1479262115000374",,"Fenzi et al.","2015","1"
"Trends in Land Degradation in Latin America
and the Caribbean","http://www.wamis.org/agm/meetings/wocald06/S2-Santibanez.pdf","Publication (Center on Agriculture and Environment (AGRIMED)
University of Chile","Fernando","2006","1"
"Cassava (Manihot esculenta Crantz) and Yam (Dioscorea spp.) Crops and Their Derived Foodstuffs: Safety, Security and Nutritional Value","https://doi.org/10.1080/10408398.2014.922045","Journal article","Ferraro et al.","2015","1"
"Climate Change Impacts on Typical Mediterranean Crops and Evaluation of Adaptation
Strategies to Cope With. In A. Navarra and L. Tubiana (Eds.), Regional Assessment
of Climate Change in the Mediterranean","https://mdpires.com/d_attachment/sustainability/sustainability-11-02769/article_deploy/sustainability-11-02769.pdf?version=1557894327","Report","Ferrise et al.","2013","1"
"Climatic trends and impact of climate change on agriculture in an arid Andean valley","https://link.springer.com/article/10.1007/s10584-011-0200-z","Article/Journal","Fiebig-Wittmaack et al.","2011","1"
"Introducing experiences from African pastoralist communities to cope with climate change risks, hazards and extremes: Fostering poverty reduction","https://doi.org/10.1016/j.ijdrr.2020.101738","Journal article","Filho et al.","2020","1"
"East and Southeast Asia","https://worldgeo.pressbooks.com/chapter/east-and-southeast-asia/","Book","Finlayson et al.","2019","1"
"Drought tolerant maize for farmer adaptation to drought in sub-Saharan Africa: Determinants of adoption in eastern and southern Africa.","https://link.springer.com/article/10.1007/s10584-015-1459-2","Journal","Fisher et al.","2015","1"
"The Role of Latin America’s Land and Water Resources for Global Food Security: Environmental Trade-Offs of Future Food Production Pathways.","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0116733","Journal","Flachsbarth et al.","2015","1"
"Reshaping Africa’s rural food systems and cutting food losses.","https://ensia.com/features/africa-food-loss-refrigeration-cold-storage-economy/","Article","Fleming","2019","1"
"Saving Africa’s forests, the ‘lungs of the world’","https://www.un.org/africarenewal/magazine/january-2008/saving-africa%E2%80%99s-forests-%E2%80%98lungs-world%E2%80%99","Report","Fleshman","2008","1"
"Opportunities for Participatory
Rangeland Management (PRM)
in the Great Green Wall Initiative
in Mali and Senegal","https://hdl.handle.net/10568/119174","report","Flintan et al.","2022","1"
"Food Access Deficiencies in Sub-saharan Africa: Prevalence and Implications for Agricultural Interventions","https://www.frontiersin.org/articles/10.3389/fsufs.2019.00104/full","Journal article","Fraval et al.","2019","1"
"Designing Climate Information Services to Enhance Resilient Farming Activities: Lessons From Papua New Guinea","https://www.frontiersin.org/articles/10.3389/fclim.2022.871987/full","Journal article","Friedman et al.","2022","1"
"Soil governance and sustainable agriculture in Mexico","https://www.sciencedirect.com/science/article/pii/S2667006222000260","Journal article","Garcia et al.","2022","1"
"Mediterranean water resources in a global change scenario. Earth-Science Reviews","doi:10.1016/j.earscirev.2011.01.006","Article","García-Ruiz et al.","2011","1"
"Governing for sustainability in agricultural-forest frontiers: A case study of the Brazilian Amazon.","https://www.jstor.org/stable/resrep00384?seq=1","Journal article","Gardner et al.","2014","1"
"Understanding African Farming Systems: Science and Policy Implications. Invited paper, Food Security in Africa: bridging research into practice","https://www.researchgate.net/profile/Boffa-J-M/publication/258518038_Garrity_D_Dixon_J_Boffa_J-M_2012_Understanding_African_Farming_Systems_Science_and_Policy_Implications_Invited_paper_Food_Security_in_Africa_bridging_research_into_practice_30_November_2012_Sydney_Aus/links/5eaaac9a45851592d6ac2d0b/Garrity-D-Dixon-J-Boffa-J-M-2012-Understanding-African-Farming-Systems-Science-and-Policy-Implications-Invited-paper-Food-Security-in-Africa-bridging-research-into-practice-30-November-2012-Sydn.pdf?origin=publication_detail","Conference paper","Garitty","2012","1"
"Explaining the persistence of low income and environmentally degrading land uses in the Brazilian Amazon.","https://www.jstor.org/stable/26270164?seq=1","Journal article","Garrett et al.","2017","1"
"Understanding African Farming Systems: Science and Policy Implications","Understanding African Farming Systems: Science and Policy Implications (aciar.gov.au)","Report","Garrity et al.","2012","1"
"Understanding African Farming Systems: Science and Policy Implications","https://www.researchgate.net/publication/258518038_Garrity_D_Dixon_J_Boffa_J-M_2012_Understanding_African_Farming_Systems_Science_and_Policy_Implications_Invited_paper_Food_Security_in_Africa_bridging_research_into_practice_30_November_2012_Sydney_Aus","Journal article","Garrity et al.","2012","2"
"Climate change and its impact on plant diseases","https://www.jstor.org/stable/24099750","Journal","Gautam et al.","2013","1"
"Farmers climate change adaptation options and their determinants in Tigray Region, Northern Ethiopia","https://www.researchgate.net/publication/274715013_Farmers_climate_change_adaptation_options_and_their_determinants_in_Tigray_Region_Northern_Ethiopia","Journal article","Gebre et al. 2015","2015","1"
"The Need for Agricultural Water Management in Sub-Saharan Africa","https://www.scirp.org/journal/paperinformation.aspx?paperid=69117","Journal article","Gebrehiwot et al.","2016","1"
"Understanding past, present, and future climate changes from East to West Africa","https://cgspace.cgiar.org/handle/10568/34974","Journal Article","Gebrekirstos et al.","2011","1"
"Sector capabilities: Cassava from Ghana","https://www.gepaghana.org/import/ghana-product/cassava-from-ghana/","Webpage","GEPA","2017","1"
"Climate Change, Agriculture, and Adaptation Options for Peru","https://ebrary.ifpri.org/digital/api/collection/p15738coll2/id/133213/download","Report","Gianella et al.","2019","1"
"IMPORTANCE OF PESTICIDES FOR GROWING MAIZE IN SUB-SAHARAN AFRICA","https://croplife.org/case-study/importance-of-pesticides-for-growing-maize-in-sub-saharan-africa/","Report","Gianessi","2014","1"
"Small farms and development in sub‑Saharan Africa: Farming for food, for income or for lack of better options?","https://cgspace.cgiar.org/rest/bitstreams/8a2129d7-7f0c-4255-b977-a29a384b2a2e/retrieve","Journal article","Giller et al.","2021","1"
"The Food Security Conundrum of sub-Saharan Africa","https://www.sciencedirect.com/science/article/pii/S2211912420300857","Journal article","Giller","2020","1"
"The Food Security Conundrum of sub-Saharan Africa.","https://doi.org/10.1016/j.gfs.2020.100431","Journal","Giller","2020","2"
"Investing in Asia’s Water Sector Infrastructure","https://www.aiib.org/en/news-events/media-center/blog/2022/Investing-in-Asia-s-Water-Sector-Infrastructure.html","Journal article","Ginting","2022","1"
"Change of the Rainfall Seasonality Over Central Peruvian Andes: Onset, End, Duration and Its Relationship With Large-Scale Atmospheric Circulation","https://mdpi-res.com/d_attachment/climate/climate-08-00023/article_deploy/climate-08-00023.pdf?version=1580208740","Report","Giráldez et al.","2020","1"
"Pastoralist herd size maintenance during drought with the use of reseeded fields near Lake Baringo, Kenya","https://pastoralismjournal.springeropen.com/articles/10.1186/s13570-022-00238-4","Journal article","Githu et al.","2022","1"
"Agricultural insurance policies for farmers in Peru","https://www.giz.de/en/mediacenter/62830.html","Website","GIZ (Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH)","2018","1"
"Impacts of climate change on the livestock food supply chain; a review of the evidence","https://www.sciencedirect.com/science/article/pii/S2211912420301413","Journal","Godde et al.","2021","1"
"Impacts of climate change on the livestock food supply chain; a review of the evidence","https://www.sciencedirect.com/science/article/pii/S2211912420301413","Journal article","Godde et al.","2021","2"
"Water Politics Polarised in Mexico.","http://www.ipsnews.net/2015/04/water-politics-polarised-in-mexico",,"Godoy","2015","2"
"Impacts of climate change on the livestock food supply chain; a review of the evidence","https://www.sciencedirect.com/science/article/pii/S2211912420301413","Journal article","Godoy","2021","1"
"Winning in Africa’s agricultural market","https://www.mckinsey.com/industries/agriculture/our-insights/winning-in-africas-agricultural-market","Article","Goedde et al.","2019","1"
"National Water Plan: 2013-2018.","http://www.unwater.org/fileadmin/user_upload/unwater_new/docs/Publications/MEX_pagebypage.pdf","GOM Report","GOM, 2014a","2014","1"
"Implications of climate change for agricultural productivity in the early twenty-first century","https://royalsocietypublishing.org/doi/10.1098/rstb.2010.0158","Journal article","Gornall et al.","2010","1"
"Historical climate trends, deforestation, and maize and bean yieldsin Nicaragua","https://www.sciencedirect.com/science/article/pii/S0168192314002536","Journal article","Gourdji et al.","2015","1"
"Towards Climate Change Preparedness in the MENA’s Agricultural Sector.","https://www.mdpi.com/2073-4395/12/2/279","Journal article","Govind","2022","1"
"Sustainable agricultural development in sub-Saharan Africa: the case for a paradigm shift in land husbandry","https://bsssjournals.onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2007.00137.x","Journal","Gowing and Palmer","2007","1"
"Fostering sustainable development in coffee-exporting countries: Coffee production and the natural environment: Challenges and opportunities","https://unctad.org/system/files/non-official-document/18Feb2020_Coffee_Grabs.pdf","UNCTAD document","Grabs ","2020","1"
"Food Security and the Dynamics of Wheat and Maize Value Chains in Africa and Asia.","https://doi.org/10.3389/fsufs.2020.617009",,"Grote et al.","2021","1"
"Expected global suitability of coffee, cashew and avocado due to climate change.","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0261976","Journal article","Gruter et al.","2022","1"
"Statistical yearbook of Vietnam","https://www.gso.gov.vn/en/data-and-statistics/2021/07/statistical-yearbook-of-2020/","Government report","GSO","2021","1"
"Farmer forecasts: Impacts of seasonal rainfall expectations on agricultural decision-making in Sub-Saharan Africa","https://www.sciencedirect.com/science/article/pii/S2212096320300371","Journal article","Guido et al.","2020","1"
"The Burden of Maintenance: Roads in Sub-Saharan Africa","https://roadsforwater.org/wp-content/uploads/2013/10/the-burden-of-maintenance_roads-in-SSA.pdf","Report","Gwilliam et al.","2009","1"
"A prospectus for sustainability of rainfed maize production systems in South Africa","https://doi.org/10.1002/csc2.20103","Journal article","Haarhoff et al.","2020","1"
"Drought-prone rainfed lowland rice in Asia: limitations and management options","https://www.researchgate.net/publication/279611275_Drought-prone_rainfed_lowland_rice_in_Asia_limitations_and_management_options","Journal article","Haefele and Bouman","2009","1"
"Climate change-related risks and adaptation potential in Central and South America during the 21st century","https://iopscience.iop.org/article/10.1088/1748-9326/ac5271","Article","Hagen et al.","2022","1"
"Climate change-related risks and adaptation potential in Central and South America during the 21st century","https://ui.adsabs.harvard.edu/abs/2022ERL....17c3002H/abstract","Journal article","Hagen et al.","2022","2"
"Understanding and informing decisions on Sustainable Agricultural Intensification in Sub-Saharan Africa","https://www.tandfonline.com/doi/full/10.1080/14735903.2020.1818483","Journal article","Haggar et al.","2021","1"
"Shock Waves: Managing the Impacts of Climate Change on Poverty","https://openknowledge.worldbank.org/handle/10986","Report","Hallegatte et al.","2016","1"
"Global Change and Investments in Smallholder Irrigation for Food and Nutrition Security in Sub-Saharan Africa.","https://link.springer.com/chapter/10.1007/978-3-030-42148-9_6","Journal","Hanjra and Williams","2020","1"
"Regional modeling of climate change impacts
on smallholder agriculture and ecosystems
in Central America","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://link.springer.com/content/pdf/10.1007/s10584-016-1867-y.pdf","Journal article","Hannah et al.","2017","1"
"Managing weather and climate risks to agriculture in North America, Central America and the Caribbean","https://doi.org/10.1016/j.wace.2015.10.006","Journal article","Harlan and Raymond","2015","1"
"Climate change impacts and adaptation among smallholder farmers in Central America","https://agricultureandfoodsecurity.biomedcentral.com/articles/10.1186/s40066-018-0209-x","Journal article","Harvey et al.","2018","1"
"Major Environmental Issues and Problems of South Asia, Particularly Bangladesh","https://doi.org/10.1007/978-3-319-58538-3_7-1","Journal","Hasnat et al.","2018","1"
"Participation in Extension Program Planning for an Improvement of Smallholders' Livelihoods in the MENA Region","https://www.harper-adams.ac.uk/events/ifsa/papers/1/1.4%20Aenis.pdf","Research paper","Hassan and Aenis","2016","1"
"Cassava system cropping guide","https://www.iita.org/wp-content/uploads/2016/06/Cassava_system_cropping_guide.pdf","Report","Hauser et al.","2014","1"
"Flood impacts on urban transit and accessibility—A case study of Kinshasa,Transportation Research Part D: Transport and Environment","https://doi.org/10.1016/j.trd.2021.102889.(https://www.sciencedirect.com/science/article/pii/S1361920921001905)","Journal","He et al.","2021","1"
"Trans-Disciplinary Responses to Climate Change:
Lessons from Rice-Based Systems in Asia","https://cgspace.cgiar.org/handle/10568/109953","Journal article","Hellin et al.","2020","1"
"Trans-Disciplinary Responses to Climate Change:
Lessons from Rice-Based Systems in Asia","https://www.mdpi.com/2225-1154/8/2/35","Journal article","Hellin et al.","2020","2"
"Status of Food Security in East and Southeast Asia and Challenges of Climate Change","https://www.mdpi.com/2225-1154/10/3/40/pdf","Journal","Hen-I Lin et al.","2022","1"
"Status of Food Security in East and Southeast Asia and Challenges of Climate Change","https://www.mdpi.com/2225-1154/10/3/40/pdf","Journal article","Hen-I Lin et al.","2022","2"
"Status of Food Security in East and Southeast Asia and Challenges of Climate Change","https://doi.org/10.3390/cli10030040","Journal","Hen-I Lin et al.","2022","3"
"Transitioning towards commercial upland agriculture: A comparative study in Northern Lao PDR","https://www.tandfonline.com/doi/full/10.1016/j.njas.2018.11.001","Journal article","Hepp et al.","2019","1"
"FAO Plant Production and Protection Series No.26","https://www.feedipedia.org/node/25906","Book","Hernandez et al.","1994","1"
"Production Systems for the Future: Balancing Trade-Offs between Food Production, Efficiency, Livelihoods and the Environment.","https://globalresearchalliance.org/wp-content/uploads/2018/02/Nairobi-Kenya-LRG-Regional-Workshop-Presentation-day-1-Herraro-Sept-2012.pdf","Key note paper","Herrero and Thornton","2011","1"
"Climate change and pastoralism: impacts,
consequences and adaptation","https://www.researchgate.net/profile/Mario-Herrero/publication/311449728_Climate_change_and_pastoralism_impacts_consequences_and_adaptation_-EN-_-FR-_Le_changement_climatique_et_le_pastoralisme_effets_consequences_et_adaptation_-ES-_Cambio_climatico_y_pastoreo_efectos_dire/links/5851e12a08ae95fd8e1afcb8/Climate-change-and-pastoralism-impacts-consequences-and-adaptation-EN--FR-Le-changement-climatique-et-le-pastoralisme-effets-consequences-et-adaptation-ES-Cambio-climatico-y-pastoreo-efectos-d.pdf","Journal article","Herrero et al.","2016","1"
"Integrated Systems Research for Sustainable Smallholder Agriculture in the Central Mekong: Achievements and challenges of implementing integrated systems research","https://cgspace.cgiar.org/handle/10568/78299","Book","Hiwasaki et al.","2016","1"
"Land tenure reforms, tenure security and food security in poor agrarian economies: Causal linkages and research gaps","https://www.sciencedirect.com/science/article/pii/S2211912416300153","Journal article","Holden et al.","2016","1"
"Welfare impact of market participation: The case of rice farmers from wetland ecosystem in Bangladesh.","https://www.sciencedirect.com/science/article/pii/S2667010021002717?via%3Dihub","Journal article","Hoq et al.","2021","1"
"Global warming and rice production in Asia: Modeling, impact prediction and adaptation","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6751296/","Journal article","Horie","2019","1"
"Global warming and rice production in Asia: Modeling, impact prediction and adaptation","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6751296/","Journal article","HORIE","2019","1"
"Wheat (Triticum aestivum L.) in the Rice-Wheat Systems of South Asia Is Influenced by Terminal Heat Stress at Late Sown Condition: A Case in Bangladesh","https://www.intechopen.com/chapters/71534","Journal article","Hossain et al.","2020","1"
"STRATEGIC ENVIRONMENTAL ASSESSMENT An Assessment of the Impact of Smallholder Cassava Production and Processing Practices on the Environmet.","https://www.researchgate.net/publication/322498955_STRATEGIC_ENVIRONMENTAL_ASSESSMENT_An_Assessment_of_the_Impact_of_Smallholder_Cassava_Production_and_Processing_Practices_on_the_Environment",,"Howeler et al.","2001","1"
"Accelerated dryland expansion under climate change. Nature Climate Change","https://www.nature.com/articles/nclimate2837","Report","Huang et al.","2016","1"
"Literature Review of Land Tenure in Niger, Burkina Faso and Mali: Context and Opportunities.","https://www.crs.org/sites/default/files/tools-research/literature-review-of-land-tenure-in-niger-burkina-faso-mali.pdf","report","Hughes","2014","1"
"Temperature extremes: Impact on rice growth and development","https://www.researchgate.net/publication/336406390_Temperature_Extremes_Impact_on_Rice_Growth_and_Development","Journal article","Hussain et al.","2019","1"
"An assessment of the economic and social
impacts of climate change on the agriculture
sector in the Caribbean","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cepal.org/sites/default/files/publication/files/38278/LCCARL398_en.pdf","Report","Hutchinson et al.","2013","1"
"Priority regions for research on dryland cereals and legumes.","https://pubmed.ncbi.nlm.nih.gov/27303632/","Journal article","Hyman et al.","2016","1"
"It is not just about wheat - how diversified cropping systems help family farmers and the planet.","https://www.cgiar.org/news-events/news/its-not-just-about-wheat-how-diversified-cropping-systems-help-family-farmers-and-the-planet/","Webpage","ICARDA","2021","1"
"Asia Pacific: Region overview","https://www.climatecentre.org/wp-content/uploads/RCCC-ICRC-Country-profiles-Region_Asia_Pacific.pdf","Climate Centre Report","ICRC","2021","1"
"Climate Change Impacts on Agriculture in Latin America and Caribbean:Application of the Intergrated Economic-Environmenal Modelling (IEEM)Platform","http://www.iadb.org/","IDB Working paper","IDB","2021","1"
"More than 13 million people internally displaced across Asia in 2018, 2019b","https://www.internal-displacement.org/media-centres/more-than-13-million-people-internally-displaced-across-asia-in-2018","IDMC Report","IDMC","2019","1"
"Agriculture – Pathways to Prosperity in Asia and the Pacific","https://www.ifad.org/documents/38714170/39135645/pathways.pdf/d87b6f4d-88cb-4c84-8b7e-6a645d0f5ea0","Report","IFAD","2011","1"
"Pathways to Prosperity in Asia and the Pacific","https://www.ifad.org/documents/38714170/39135645/pathways.pdf/d87b6f4d-88cb-4c84-8b7e-6a645d0f5ea0","IFAD Report","IFAD","2011","2"
"Agriculture – Pathways to Prosperity in Asia and the Pacific","https://www.ifad.org/documents/38714170/39135645/pathways.pdf/d87b6f4d-88cb-4c84-8b7e-6a645d0f5ea0","Book","IFAD","2011","3"
"Smallholders, food security, and the environment","https://www.ifad.org/documents/38714170/39135645/smallholders_report.pdf/133e8903-0204-4e7d-a780-bca847933f2e","Report","IFAD","2013","1"
"Asia-Pacific Farmers’ Forum IFAD’s Medium-term Cooperation Programme with Farmers’ OrganizationsPhase Two (MTCP2)","https://www.ifad.org/documents/38714170/39148759/MTCP2_apr.pdf/d9ca7f99-1c5e-4925-8962-d02646b66934","IFAD Report","IFAD","2017","1"
"The Latin America and Caribbean Advantage Family farming – a critical success factor for resilient food security and nutrition","https://www.ifad.org/documents/38714170/41422565/lac_advantage_e.pdf/fcc0594c-c8b6-23d9-543d-e1dcc2a6e233","IFAD Report","IFAD","2019","1"
"Smallholder farming key to development in Latin America and the Caribbean","https://www.ifad.org/en/web/latest/-/speech/smallholder-farming-key-to-development-in-latin-america-and-the-caribbean","IFAD Report","IFAD","2021","1"
"Why land tenure is crucial for sustainable food systems","https://www.ifad.org/en/web/latest/-/fs-thematic-land","Report","IFAD","2021","2"
"Asia and the Pacific: Investing in rural people.","https://www.ifad.org/en/web/operations/regions/apr","IFAD Report","IFAD","2022","1"
"Is Food Insecurity More Severe in South Asia or Sub-Saharan Africa?","http://landwise-production.s3.amazonaws.com/2022/03/Smith_et_al_Is_food_insecurity_more_severe_2007.pdf","Paper","IFPRI","2007","1"
"WATER FOR AGRICULTURE IN THE AMERICAS","https://repositorio.iica.int/bitstream/handle/11324/6148/BVE17109367i.pdf;jsessionid=AEE6DA082BDA94ED9A4F52E06688E8CB?sequence=2","Inter-American Institute for Cooperation on Agriculture document","IICA","2017","1"
"Supporting the vulnerable: Increasing adaptive
capacities of agropastoralists to climate
change in West and southern Africa using
a transdisciplinary research approach","https://cgspace.cgiar.org/bitstream/handle/10568/34882/PR_AgroPastoralists.pdf","Report","ILRI","2013","1"
"Climate change, ecosystems and smallholder agriculture in Central America: An introduction to the special issue","https://link.springer.com/article/10.1007/s10584-017-1920-5","Journal article","Imbach et al.","2017","1"
"Trade and Industrial Policy Reform in Latin America","https://doi.org/10.5089/9781557755179.071","IMF Report","IMF","1995","1"
